city,state,cost,statistics,latitude,longitude
Blackfoot,ID,"{'2024-05-01': 977.21, '2024-06-01': 994.89, '2024-07-01': 1004.32, '2024-08-01': 1010.05, '2024-09-01': 1008.35, '2024-10-01': 1006.72, '2024-11-01': 1003.44, '2024-12-01': 1001.96, '2025-01-01': 994.99, '2025-02-01': 1010.5, '2025-03-01': 1020.19, '2025-04-01': 1040.15, '2025-05-01': 1039.24, '2025-06-01': 1036.73, '2025-07-01': 1014.48, '2025-08-01': 1030.57, '2025-09-01': 1022.13, '2025-10-01': 1032.31, '2025-12-01': 1024.95, '2026-01-01': 1045.83}","{'representative_monthly_cost': 1027.76, 'estimated_income_needed': 41110.4, 'yoy_rent_change_pct': 4.38}",43.1940,-112.3454
Burley,ID,"{'2025-12-01': 1433.61, '2026-01-01': 1450.0}","{'representative_monthly_cost': 1441.81, 'estimated_income_needed': 57672.4, 'yoy_rent_change_pct': None}",42.5379,-113.7926
Coeur d'Alene,ID,"{'2017-02-01': 976.45, '2017-03-01': 982.52, '2017-04-01': 1001.61, '2017-05-01': 1012.13, '2017-06-01': 1026.59, '2017-07-01': 1031.23, '2017-08-01': 1029.88, '2017-09-01': 1035.86, '2017-10-01': 1034.92, '2017-11-01': 1030.1, '2017-12-01': 1017.48, '2018-01-01': 1019.59, '2018-02-01': 1037.62, '2018-03-01': 1064.85, '2018-04-01': 1078.74, '2018-05-01': 1091.84, '2018-06-01': 1094.17, '2018-07-01': 1100.78, '2018-08-01': 1106.71, '2018-09-01': 1106.24, '2018-10-01': 1107.44, '2018-11-01': 1109.47, '2018-12-01': 1105.66, '2019-01-01': 1106.75, '2019-02-01': 1115.79, '2019-03-01': 1136.44, '2019-04-01': 1149.71, '2019-05-01': 1149.8, '2019-06-01': 1165.92, '2019-07-01': 1176.33, '2019-08-01': 1182.7, '2019-09-01': 1185.59, '2019-10-01': 1178.81, '2019-11-01': 1180.86, '2019-12-01': 1187.23, '2020-01-01': 1197.8, '2020-02-01': 1201.76, '2020-03-01': 1204.48, '2020-04-01': 1214.1, '2020-05-01': 1226.44, '2020-06-01': 1232.19, '2020-07-01': 1255.09, '2020-08-01': 1273.39, '2020-09-01': 1298.87, '2020-10-01': 1317.96, '2020-11-01': 1341.31, '2020-12-01': 1368.01, '2021-01-01': 1386.18, '2021-02-01': 1408.3, '2021-03-01': 1436.06, '2021-04-01': 1509.24, '2021-05-01': 1585.38, '2021-06-01': 1662.41, '2021-07-01': 1677.89, '2021-08-01': 1676.06, '2021-09-01': 1668.13, '2021-10-01': 1651.14, '2021-11-01': 1650.84, '2021-12-01': 1637.44, '2022-01-01': 1651.42, '2022-02-01': 1679.63, '2022-03-01': 1717.5, '2022-04-01': 1755.17, '2022-05-01': 1786.37, '2022-06-01': 1799.13, '2022-07-01': 1782.8, '2022-08-01': 1748.33, '2022-09-01': 1726.39, '2022-10-01': 1707.42, '2022-11-01': 1688.41, '2022-12-01': 1667.28, '2023-01-01': 1668.92, '2023-02-01': 1677.17, '2023-03-01': 1687.57, '2023-04-01': 1685.48, '2023-05-01': 1699.19, '2023-06-01': 1710.45, '2023-07-01': 1719.48, '2023-08-01': 1711.64, '2023-09-01': 1701.21, '2023-10-01': 1693.79, '2023-11-01': 1682.86, '2023-12-01': 1680.76, '2024-01-01': 1686.57, '2024-02-01': 1695.81, '2024-03-01': 1711.45, '2024-04-01': 1728.45, '2024-05-01': 1746.64, '2024-06-01': 1750.25, '2024-07-01': 1758.35, '2024-08-01': 1762.77, '2024-09-01': 1756.78, '2024-10-01': 1740.88, '2024-11-01': 1722.94, '2024-12-01': 1711.15, '2025-01-01': 1709.53, '2025-02-01': 1715.33, '2025-03-01': 1736.21, '2025-04-01': 1751.29, '2025-05-01': 1769.31, '2025-06-01': 1786.34, '2025-07-01': 1795.15, '2025-08-01': 1795.14, '2025-09-01': 1782.61, '2025-10-01': 1775.1, '2025-11-01': 1768.41, '2025-12-01': 1757.07, '2026-01-01': 1752.6}","{'representative_monthly_cost': 1768.86, 'estimated_income_needed': 70754.4, 'yoy_rent_change_pct': 2.52}",47.7040,-116.7936
Hailey,ID,{'2026-01-01': 2962.5},"{'representative_monthly_cost': 2962.5, 'estimated_income_needed': 118500.0, 'yoy_rent_change_pct': None}",43.5141,-114.3001
Idaho Falls,ID,"{'2015-01-01': 690.74, '2015-02-01': 697.86, '2015-03-01': 708.85, '2015-04-01': 718.62, '2015-05-01': 718.45, '2015-06-01': 721.83, '2015-07-01': 724.3, '2015-08-01': 724.18, '2015-09-01': 725.61, '2015-10-01': 728.82, '2015-11-01': 712.97, '2015-12-01': 709.21, '2016-01-01': 705.32, '2016-02-01': 716.94, '2016-03-01': 729.07, '2016-04-01': 733.25, '2016-05-01': 744.01, '2016-06-01': 751.22, '2016-07-01': 762.54, '2016-08-01': 773.45, '2016-09-01': 767.81, '2016-10-01': 765.71, '2016-11-01': 755.76, '2016-12-01': 752.96, '2017-01-01': 754.36, '2017-02-01': 768.52, '2017-03-01': 779.19, '2017-04-01': 784.87, '2017-05-01': 789.28, '2017-06-01': 798.67, '2017-07-01': 805.96, '2017-08-01': 810.7, '2017-09-01': 819.71, '2017-10-01': 819.47, '2017-11-01': 825.19, '2017-12-01': 816.98, '2018-01-01': 830.32, '2018-02-01': 829.74, '2018-03-01': 843.42, '2018-04-01': 838.51, '2018-05-01': 846.56, '2018-06-01': 850.68, '2018-07-01': 858.1, '2018-08-01': 864.43, '2018-09-01': 872.57, '2018-10-01': 879.05, '2018-11-01': 886.23, '2018-12-01': 885.85, '2019-01-01': 888.79, '2019-02-01': 879.66, '2019-03-01': 890.35, '2019-04-01': 894.8, '2019-05-01': 914.59, '2019-06-01': 923.02, '2019-07-01': 938.12, '2019-08-01': 938.92, '2019-09-01': 937.47, '2019-10-01': 935.97, '2019-11-01': 937.1, '2019-12-01': 943.66, '2020-01-01': 948.77, '2020-02-01': 955.64, '2020-03-01': 959.79, '2020-04-01': 967.17, '2020-05-01': 971.01, '2020-06-01': 981.11, '2020-07-01': 990.87, '2020-08-01': 1012.13, '2020-09-01': 1023.55, '2020-10-01': 1045.48, '2020-11-01': 1056.43, '2020-12-01': 1054.98, '2021-01-01': 1059.37, '2021-02-01': 1077.52, '2021-03-01': 1114.39, '2021-04-01': 1133.7, '2021-05-01': 1156.8, '2021-06-01': 1171.63, '2021-07-01': 1197.83, '2021-08-01': 1221.04, '2021-09-01': 1254.85, '2021-10-01': 1272.17, '2021-11-01': 1279.8, '2021-12-01': 1279.25, '2022-01-01': 1287.42, '2022-02-01': 1291.56, '2022-03-01': 1302.11, '2022-04-01': 1327.39, '2022-05-01': 1344.38, '2022-06-01': 1354.21, '2022-07-01': 1347.86, '2022-08-01': 1348.52, '2022-09-01': 1349.17, '2022-10-01': 1342.66, '2022-11-01': 1333.94, '2022-12-01': 1325.98, '2023-01-01': 1320.64, '2023-02-01': 1324.53, '2023-03-01': 1335.02, '2023-04-01': 1342.61, '2023-05-01': 1361.16, '2023-06-01': 1362.43, '2023-07-01': 1370.81, '2023-08-01': 1360.82, '2023-09-01': 1366.05, '2023-10-01': 1357.22, '2023-11-01': 1348.5, '2023-12-01': 1337.98, '2024-01-01': 1346.75, '2024-02-01': 1356.63, '2024-03-01': 1370.43, '2024-04-01': 1379.36, '2024-05-01': 1388.86, '2024-06-01': 1399.47, '2024-07-01': 1396.47, '2024-08-01': 1398.27, '2024-09-01': 1397.01, '2024-10-01': 1395.18, '2024-11-01': 1387.41, '2024-12-01': 1373.45, '2025-01-01': 1373.51, '2025-02-01': 1377.05, '2025-03-01': 1390.43, '2025-04-01': 1408.91, '2025-05-01': 1423.4, '2025-06-01': 1426.88, '2025-07-01': 1421.66, '2025-08-01': 1409.47, '2025-09-01': 1404.87, '2025-10-01': 1395.98, '2025-11-01': 1397.85, '2025-12-01': 1399.9, '2026-01-01': 1407.12}","{'representative_monthly_cost': 1406.0, 'estimated_income_needed': 56240.0, 'yoy_rent_change_pct': 2.45}",43.4871,-112.0362
Lewiston,ID,"{'2025-12-01': 1583.4, '2026-01-01': 1591.88}","{'representative_monthly_cost': 1587.64, 'estimated_income_needed': 63505.6, 'yoy_rent_change_pct': None}",46.3934,-116.9933
Moscow,ID,"{'2024-01-01': 1137.54, '2024-02-01': 1161.3, '2024-03-01': 1167.03, '2024-04-01': 1169.44, '2024-05-01': 1185.89, '2024-06-01': 1176.12, '2024-07-01': 1159.35, '2024-08-01': 1155.49, '2024-09-01': 1172.52, '2024-10-01': 1157.13, '2024-11-01': 1161.07, '2024-12-01': 1121.59, '2025-01-01': 1134.45, '2025-02-01': 1164.25, '2025-03-01': 1249.3, '2025-04-01': 1277.72, '2025-05-01': 1262.35, '2025-06-01': 1296.3, '2025-07-01': 1276.13, '2025-08-01': 1307.01, '2025-09-01': 1259.85, '2025-10-01': 1310.42, '2025-11-01': 1278.94, '2025-12-01': 1259.06, '2026-01-01': 1251.94}","{'representative_monthly_cost': 1269.24, 'estimated_income_needed': 50769.6, 'yoy_rent_change_pct': 10.36}",46.7308,-116.9986
Mountain Home,ID,"{'2024-10-01': 1543.04, '2024-11-01': 1566.94, '2025-01-01': 1582.09, '2025-02-01': 1552.64, '2025-03-01': 1573.15, '2025-04-01': 1578.53, '2025-05-01': 1572.42, '2025-06-01': 1590.15, '2025-07-01': 1592.94, '2025-08-01': 1627.31, '2025-09-01': 1620.33, '2025-10-01': 1629.83, '2025-11-01': 1638.07, '2025-12-01': 1621.8, '2026-01-01': 1661.07}","{'representative_monthly_cost': 1606.64, 'estimated_income_needed': 64265.6, 'yoy_rent_change_pct': 4.99}",43.1324,-115.6970
Pocatello,ID,"{'2022-01-01': 991.79, '2022-02-01': 1004.45, '2022-03-01': 957.36, '2022-04-01': 963.2, '2022-05-01': 970.32, '2022-06-01': 984.93, '2022-07-01': 991.16, '2022-08-01': 992.1, '2022-09-01': 971.61, '2022-10-01': 960.56, '2022-11-01': 953.75, '2022-12-01': 967.18, '2023-01-01': 990.89, '2023-02-01': 1003.63, '2023-03-01': 1010.52, '2023-04-01': 1005.96, '2023-05-01': 1012.01, '2023-06-01': 1020.05, '2023-07-01': 1017.7, '2023-08-01': 1010.84, '2023-09-01': 1015.67, '2023-10-01': 1012.51, '2023-11-01': 1005.21, '2023-12-01': 991.51, '2024-01-01': 992.67, '2024-02-01': 1008.19, '2024-03-01': 1027.18, '2024-04-01': 1040.74, '2024-05-01': 1054.74, '2024-06-01': 1061.22, '2024-07-01': 1067.53, '2024-08-01': 1057.68, '2024-09-01': 1048.53, '2024-10-01': 1040.18, '2024-11-01': 1040.26, '2024-12-01': 1034.93, '2025-01-01': 1037.41, '2025-02-01': 1042.17, '2025-03-01': 1049.75, '2025-04-01': 1060.13, '2025-05-01': 1074.56, '2025-06-01': 1093.04, '2025-07-01': 1101.43, '2025-08-01': 1113.21, '2025-09-01': 1119.18, '2025-10-01': 1106.2, '2025-11-01': 1080.13, '2025-12-01': 1067.37, '2026-01-01': 1069.35}","{'representative_monthly_cost': 1077.34, 'estimated_income_needed': 43093.6, 'yoy_rent_change_pct': 3.08}",42.8724,-112.4647
Rexburg,ID,"{'2021-02-01': 896.44, '2021-03-01': 888.77, '2021-04-01': 891.7, '2021-05-01': 892.51, '2021-06-01': 898.14, '2021-07-01': 911.02, '2021-08-01': 945.14, '2021-09-01': 967.74, '2021-10-01': 987.0, '2021-11-01': 990.9, '2021-12-01': 1000.29, '2022-01-01': 1024.26, '2022-02-01': 1046.0, '2022-03-01': 1070.23, '2022-04-01': 1083.04, '2022-05-01': 1090.59, '2022-06-01': 1090.39, '2022-07-01': 1094.11, '2022-08-01': 1091.49, '2022-09-01': 1095.08, '2022-10-01': 1101.46, '2022-11-01': 1117.73, '2022-12-01': 1125.79, '2023-01-01': 1127.02, '2023-02-01': 1103.62, '2023-03-01': 1102.04, '2023-04-01': 1086.24, '2023-05-01': 1105.14, '2023-06-01': 1101.26, '2023-07-01': 1110.93, '2023-08-01': 1114.06, '2023-09-01': 1118.12, '2023-10-01': 1124.3, '2023-11-01': 1120.31, '2023-12-01': 1142.38, '2024-01-01': 1137.58, '2024-02-01': 1135.84, '2024-03-01': 1113.3, '2024-04-01': 1116.47, '2024-05-01': 1124.41, '2024-06-01': 1131.53, '2024-07-01': 1129.92, '2024-08-01': 1137.04, '2024-09-01': 1131.86, '2024-10-01': 1137.57, '2024-11-01': 1143.91, '2024-12-01': 1147.44, '2025-01-01': 1151.69, '2025-02-01': 1136.09, '2025-03-01': 1142.77, '2025-04-01': 1146.81, '2025-05-01': 1151.47, '2025-06-01': 1154.36, '2025-07-01': 1154.68, '2025-08-01': 1155.32, '2025-09-01': 1170.28, '2025-10-01': 1160.08, '2025-11-01': 1182.94, '2025-12-01': 1176.34, '2026-01-01': 1200.87}","{'representative_monthly_cost': 1155.0, 'estimated_income_needed': 46200.0, 'yoy_rent_change_pct': 4.27}",43.8226,-111.7919
Sandpoint,ID,"{'2025-03-01': 2053.68, '2025-04-01': 2081.29, '2025-05-01': 2124.23, '2025-06-01': 2125.19, '2025-07-01': 2130.88, '2025-08-01': 2126.66, '2025-09-01': 2142.38, '2025-10-01': 2143.4, '2025-11-01': 2058.21, '2025-12-01': 2047.52, '2026-01-01': 2047.22}","{'representative_monthly_cost': 2124.23, 'estimated_income_needed': 84969.2, 'yoy_rent_change_pct': None}",48.2822,-116.5614
Twin Falls,ID,"{'2022-05-01': 1490.9, '2022-06-01': 1491.1, '2022-07-01': 1516.71, '2022-08-01': 1517.66, '2022-09-01': 1512.51, '2022-10-01': 1503.64, '2022-11-01': 1491.73, '2022-12-01': 1490.21, '2023-01-01': 1505.66, '2023-02-01': 1529.5, '2023-03-01': 1561.06, '2023-04-01': 1555.49, '2023-05-01': 1558.37, '2023-06-01': 1552.7, '2023-07-01': 1572.02, '2023-08-01': 1579.27, '2023-09-01': 1595.26, '2023-10-01': 1573.57, '2023-11-01': 1580.12, '2023-12-01': 1569.34, '2024-01-01': 1589.37, '2024-02-01': 1594.5, '2024-03-01': 1606.47, '2024-04-01': 1606.13, '2024-05-01': 1616.48, '2024-06-01': 1634.13, '2024-07-01': 1645.44, '2024-08-01': 1640.54, '2024-09-01': 1640.15, '2024-10-01': 1642.06, '2024-11-01': 1632.28, '2024-12-01': 1625.66, '2025-01-01': 1620.82, '2025-02-01': 1636.04, '2025-03-01': 1656.58, '2025-04-01': 1673.71, '2025-05-01': 1678.45, '2025-06-01': 1670.85, '2025-07-01': 1667.58, '2025-08-01': 1680.8, '2025-09-01': 1687.8, '2025-10-01': 1705.4, '2025-11-01': 1691.63, '2025-12-01': 1681.9, '2026-01-01': 1677.2}","{'representative_monthly_cost': 1677.82, 'estimated_income_needed': 67112.8, 'yoy_rent_change_pct': 3.48}",42.5645,-114.4613
Bloomington,IL,"{'2016-08-01': 747.3, '2016-09-01': 740.89, '2016-10-01': 724.59, '2016-11-01': 723.38, '2016-12-01': 723.74, '2017-01-01': 732.93, '2017-02-01': 743.11, '2017-03-01': 745.99, '2017-04-01': 751.43, '2017-05-01': 754.24, '2017-06-01': 760.76, '2017-07-01': 759.88, '2017-08-01': 753.98, '2017-09-01': 748.14, '2017-10-01': 752.7, '2017-11-01': 748.85, '2017-12-01': 748.42, '2018-01-01': 737.87, '2018-02-01': 744.58, '2018-03-01': 749.71, '2018-04-01': 759.69, '2018-05-01': 760.08, '2018-06-01': 765.56, '2018-07-01': 760.7, '2018-08-01': 761.22, '2018-09-01': 764.3, '2018-10-01': 767.1, '2018-11-01': 772.11, '2018-12-01': 768.88, '2019-01-01': 764.81, '2019-02-01': 761.97, '2019-03-01': 761.45, '2019-04-01': 766.3, '2019-05-01': 770.17, '2019-06-01': 779.48, '2019-07-01': 780.96, '2019-09-01': 825.72, '2019-10-01': 829.14, '2019-11-01': 789.21, '2019-12-01': 784.9, '2020-01-01': 814.2, '2020-02-01': 817.9, '2020-03-01': 830.73, '2020-04-01': 811.94, '2020-05-01': 819.71, '2020-06-01': 821.01, '2020-07-01': 838.19, '2020-08-01': 832.73, '2020-09-01': 841.1, '2020-10-01': 827.52, '2020-11-01': 830.81, '2020-12-01': 823.85, '2021-01-01': 828.33, '2021-02-01': 838.16, '2021-03-01': 843.94, '2021-04-01': 857.26, '2021-05-01': 871.36, '2021-06-01': 899.1, '2021-07-01': 914.05, '2021-08-01': 928.85, '2021-09-01': 932.78, '2021-10-01': 947.07, '2021-11-01': 964.93, '2021-12-01': 969.63, '2022-01-01': 980.53, '2022-02-01': 982.18, '2022-03-01': 998.15, '2022-04-01': 1012.72, '2022-05-01': 1022.38, '2022-06-01': 1050.37, '2022-07-01': 1066.14, '2022-08-01': 1079.53, '2022-09-01': 1075.52, '2022-10-01': 1078.67, '2022-11-01': 1085.06, '2022-12-01': 1083.92, '2023-01-01': 1086.75, '2023-02-01': 1083.53, '2023-03-01': 1096.98, '2023-04-01': 1101.44, '2023-05-01': 1086.98, '2023-06-01': 1085.28, '2023-07-01': 1091.64, '2023-08-01': 1129.36, '2023-09-01': 1148.48, '2023-10-01': 1161.38, '2023-11-01': 1163.31, '2023-12-01': 1171.89, '2024-01-01': 1170.38, '2024-02-01': 1188.46, '2024-03-01': 1189.81, '2024-04-01': 1195.67, '2024-05-01': 1205.35, '2024-06-01': 1209.89, '2024-07-01': 1221.51, '2024-08-01': 1222.19, '2024-09-01': 1231.06, '2024-10-01': 1230.94, '2024-11-01': 1234.52, '2024-12-01': 1241.58, '2025-01-01': 1239.72, '2025-02-01': 1227.62, '2025-03-01': 1236.24, '2025-04-01': 1254.15, '2025-05-01': 1267.9, '2025-06-01': 1263.2, '2025-07-01': 1270.51, '2025-08-01': 1280.8, '2025-09-01': 1284.39, '2025-10-01': 1277.9, '2025-11-01': 1275.91, '2025-12-01': 1276.36, '2026-01-01': 1280.39}","{'representative_monthly_cost': 1273.21, 'estimated_income_needed': 50928.4, 'yoy_rent_change_pct': 3.28}",40.4757,-88.9703
Carbondale,IL,"{'2017-10-01': 591.05, '2017-11-01': 581.73, '2017-12-01': 589.47, '2018-01-01': 592.18, '2018-02-01': 603.19, '2018-03-01': 596.4, '2018-04-01': 592.37, '2018-05-01': 592.66, '2018-06-01': 596.51, '2018-07-01': 600.82, '2018-08-01': 600.6, '2018-09-01': 600.08, '2018-10-01': 596.7, '2018-11-01': 601.46, '2018-12-01': 603.89, '2019-01-01': 610.08, '2019-02-01': 611.29, '2019-03-01': 610.14, '2019-04-01': 611.77, '2019-05-01': 611.99, '2019-06-01': 612.05, '2019-07-01': 609.09, '2019-08-01': 599.93, '2019-09-01': 603.23, '2019-10-01': 607.74, '2019-11-01': 610.22, '2019-12-01': 613.74, '2020-01-01': 612.87, '2020-02-01': 624.15, '2020-03-01': 623.4, '2020-04-01': 633.99, '2020-05-01': 639.76, '2020-06-01': 650.27, '2020-07-01': 645.3, '2020-08-01': 637.29, '2020-09-01': 630.02, '2020-10-01': 640.98, '2020-11-01': 653.47, '2020-12-01': 663.24, '2021-01-01': 658.69, '2021-02-01': 658.84, '2021-03-01': 661.27, '2021-04-01': 664.14, '2021-05-01': 665.11, '2021-06-01': 667.4, '2021-07-01': 669.2, '2021-08-01': 666.02, '2021-09-01': 664.0, '2021-10-01': 665.85, '2021-11-01': 665.94, '2021-12-01': 667.48, '2022-01-01': 698.11, '2022-02-01': 718.41, '2022-03-01': 728.49, '2022-04-01': 706.91, '2022-05-01': 698.84, '2022-06-01': 692.09, '2022-07-01': 677.31, '2022-08-01': 686.15, '2022-09-01': 709.22, '2022-10-01': 730.84, '2022-11-01': 741.28, '2022-12-01': 739.58, '2023-01-01': 742.95, '2023-02-01': 742.65, '2023-03-01': 747.18, '2023-04-01': 750.2, '2023-05-01': 754.81, '2023-06-01': 755.2, '2023-07-01': 763.84, '2023-08-01': 765.58, '2023-09-01': 769.42, '2023-10-01': 773.84, '2023-11-01': 777.41, '2023-12-01': 784.37, '2024-01-01': 783.08, '2024-02-01': 790.29, '2024-03-01': 790.95, '2024-04-01': 795.27, '2024-05-01': 791.97, '2024-06-01': 796.01, '2024-07-01': 801.43, '2024-08-01': 809.18, '2024-09-01': 803.73, '2024-10-01': 804.34, '2024-11-01': 809.68, '2024-12-01': 825.05, '2025-01-01': 831.7, '2025-02-01': 824.2, '2025-03-01': 828.29, '2025-04-01': 828.07, '2025-05-01': 838.36, '2025-06-01': 833.09, '2025-07-01': 837.45, '2025-08-01': 842.0, '2025-09-01': 849.45, '2025-10-01': 851.52, '2025-11-01': 846.19, '2025-12-01': 846.14, '2026-01-01': 850.76}","{'representative_monthly_cost': 840.18, 'estimated_income_needed': 33607.2, 'yoy_rent_change_pct': 2.29}",37.7221,-89.2237
Champaign,IL,"{'2015-01-01': 797.78, '2015-02-01': 802.21, '2015-03-01': 815.25, '2015-04-01': 822.95, '2015-05-01': 826.92, '2015-06-01': 832.73, '2015-07-01': 835.22, '2015-08-01': 829.35, '2015-09-01': 828.08, '2015-10-01': 827.07, '2015-11-01': 834.73, '2015-12-01': 818.09, '2016-01-01': 812.0, '2016-02-01': 808.26, '2016-03-01': 821.07, '2016-04-01': 829.87, '2016-05-01': 834.1, '2016-06-01': 839.04, '2016-07-01': 841.54, '2016-08-01': 842.05, '2016-09-01': 835.19, '2016-10-01': 829.83, '2016-11-01': 824.89, '2016-12-01': 845.02, '2017-01-01': 848.17, '2017-02-01': 855.72, '2017-03-01': 842.85, '2017-04-01': 850.92, '2017-05-01': 858.75, '2017-06-01': 861.86, '2017-07-01': 849.94, '2017-08-01': 843.52, '2017-09-01': 842.12, '2017-10-01': 858.35, '2017-11-01': 857.45, '2017-12-01': 857.24, '2018-01-01': 854.29, '2018-02-01': 864.92, '2018-03-01': 867.67, '2018-04-01': 873.42, '2018-05-01': 871.58, '2018-06-01': 873.04, '2018-07-01': 869.66, '2018-08-01': 859.74, '2018-09-01': 866.3, '2018-10-01': 871.73, '2018-11-01': 889.69, '2018-12-01': 897.79, '2019-01-01': 897.56, '2019-02-01': 899.42, '2019-03-01': 893.54, '2019-04-01': 903.5, '2019-05-01': 904.34, '2019-06-01': 904.59, '2019-07-01': 898.18, '2019-08-01': 896.54, '2019-09-01': 907.78, '2019-10-01': 917.12, '2019-11-01': 925.71, '2019-12-01': 921.63, '2020-01-01': 922.23, '2020-02-01': 921.94, '2020-03-01': 925.73, '2020-04-01': 920.89, '2020-05-01': 918.3, '2020-06-01': 913.59, '2020-07-01': 909.72, '2020-08-01': 907.14, '2020-09-01': 917.14, '2020-10-01': 931.48, '2020-11-01': 942.99, '2020-12-01': 936.0, '2021-01-01': 934.68, '2021-02-01': 938.52, '2021-03-01': 946.99, '2021-04-01': 948.42, '2021-05-01': 949.12, '2021-06-01': 951.99, '2021-07-01': 960.09, '2021-08-01': 972.18, '2021-09-01': 973.12, '2021-10-01': 985.69, '2021-11-01': 988.56, '2021-12-01': 1004.54, '2022-01-01': 1014.67, '2022-02-01': 1025.81, '2022-03-01': 1044.28, '2022-04-01': 1052.44, '2022-05-01': 1061.67, '2022-06-01': 1060.29, '2022-07-01': 1052.92, '2022-08-01': 1060.08, '2022-09-01': 1062.22, '2022-10-01': 1070.95, '2022-11-01': 1073.01, '2022-12-01': 1081.5, '2023-01-01': 1091.48, '2023-02-01': 1100.74, '2023-03-01': 1109.13, '2023-04-01': 1117.92, '2023-05-01': 1111.47, '2023-06-01': 1108.03, '2023-07-01': 1104.8, '2023-08-01': 1116.1, '2023-09-01': 1122.87, '2023-10-01': 1128.27, '2023-11-01': 1118.15, '2023-12-01': 1128.3, '2024-01-01': 1144.05, '2024-02-01': 1168.89, '2024-03-01': 1165.84, '2024-04-01': 1169.62, '2024-05-01': 1170.1, '2024-06-01': 1188.62, '2024-07-01': 1194.03, '2024-08-01': 1197.2, '2024-09-01': 1204.77, '2024-10-01': 1210.92, '2024-11-01': 1221.7, '2024-12-01': 1225.06, '2025-01-01': 1231.17, '2025-02-01': 1232.99, '2025-03-01': 1234.3, '2025-04-01': 1234.74, '2025-05-01': 1244.88, '2025-06-01': 1250.69, '2025-07-01': 1263.1, '2025-08-01': 1273.53, '2025-09-01': 1280.82, '2025-10-01': 1290.94, '2025-11-01': 1289.44, '2025-12-01': 1291.73, '2026-01-01': 1285.61}","{'representative_monthly_cost': 1268.31, 'estimated_income_needed': 50732.4, 'yoy_rent_change_pct': 4.42}",40.1142,-88.2737
Charleston,IL,{'2026-01-01': 822.0},"{'representative_monthly_cost': 822.0, 'estimated_income_needed': 32880.0, 'yoy_rent_change_pct': None}",39.4842,-88.1781
